date,airport,inbound_flights,inbound_avg_arr_delay
2019-01-01,ANC,44,-11.590909090909092
2019-01-02,ANC,48,-4.958333333333333
2019-01-03,ANC,44,-12.386363636363637
2019-01-04,ANC,47,-6.042553191489362
2019-01-05,ANC,43,0.4418604651162791
2019-01-06,ANC,45,-3.5555555555555554
2019-01-07,ANC,42,8.952380952380953
2019-01-08,ANC,38,-7.368421052631579
2019-01-09,ANC,43,-11.55813953488372
2019-01-10,ANC,41,-2.5121951219512195
2019-01-11,ANC,44,-6.068181818181818
2019-01-12,ANC,36,-11.916666666666666
2019-01-13,ANC,42,-15.095238095238095
2019-01-14,ANC,43,-20.953488372093023
2019-01-15,ANC,36,-17.805555555555557
2019-01-16,ANC,42,-19.30952380952381
2019-01-17,ANC,42,-13.761904761904763
2019-01-18,ANC,44,-3.090909090909091
2019-01-19,ANC,37,-10.702702702702704
2019-01-20,ANC,41,-10.658536585365853
2019-01-21,ANC,44,-1.1363636363636365
2019-01-22,ANC,36,12.916666666666666
2019-01-23,ANC,42,-6.095238095238095
2019-01-24,ANC,41,4.853658536585366
2019-01-25,ANC,44,-2.2954545454545454
2019-01-26,ANC,35,-8.17142857142857
2019-01-27,ANC,40,7.475
2019-01-28,ANC,43,0.9534883720930233
2019-01-29,ANC,39,-7.461538461538462
2019-01-30,ANC,41,-14.804878048780488
2019-01-31,ANC,42,-9.714285714285714
2019-02-01,ANC,44,-5.931818181818182
2019-02-02,ANC,35,-5.2
2019-02-03,ANC,40,13.5
2019-02-04,ANC,40,74.625
2019-02-05,ANC,39,17.102564102564102
2019-02-06,ANC,40,-4.9
2019-02-07,ANC,41,4.780487804878049
2019-02-08,ANC,42,13.261904761904763
2019-02-09,ANC,34,28.08823529411765
2019-02-10,ANC,39,8.333333333333334
2019-02-11,ANC,38,35.6578947368421
2019-02-12,ANC,37,30.35135135135135
2019-02-13,ANC,40,-11.675
2019-02-14,ANC,42,-19.071428571428573
2019-02-15,ANC,43,-9.813953488372093
2019-02-16,ANC,38,-2.8684210526315788
2019-02-17,ANC,40,2.75
2019-02-18,ANC,43,0.5581395348837209
2019-02-19,ANC,40,2.625
2019-02-20,ANC,40,-0.525
2019-02-21,ANC,42,0.6190476190476191
2019-02-22,ANC,41,6.341463414634147
2019-02-23,ANC,38,-11.842105263157896
2019-02-24,ANC,40,-9.425
2019-02-25,ANC,44,-14.022727272727273
2019-02-26,ANC,40,-13.15
2019-02-27,ANC,41,-17.463414634146343
2019-02-28,ANC,41,-13.658536585365853
2019-03-01,ANC,44,-2.227272727272727
2019-03-02,ANC,37,-9.945945945945946
2019-03-03,ANC,42,-10.928571428571429
2019-03-04,ANC,43,-10.232558139534884
2019-03-05,ANC,40,-12.125
2019-03-06,ANC,42,-14.19047619047619
2019-03-07,ANC,42,-2.0714285714285716
2019-03-08,ANC,44,-12.045454545454545
2019-03-09,ANC,35,-12.885714285714286
2019-03-10,ANC,42,4.142857142857143
2019-03-11,ANC,47,-8.808510638297872
2019-03-12,ANC,44,2.2045454545454546
2019-03-13,ANC,47,-3.765957446808511
2019-03-14,ANC,45,2.1333333333333333
2019-03-15,ANC,47,-7.574468085106383
2019-03-16,ANC,41,-2.8292682926829267
2019-03-17,ANC,44,-5.363636363636363
2019-03-18,ANC,46,-5.869565217391305
2019-03-19,ANC,44,-14.204545454545455
2019-03-20,ANC,48,-15.520833333333334
2019-03-21,ANC,45,-14.644444444444444
2019-03-22,ANC,46,-14.673913043478262
2019-03-23,ANC,41,-16.51219512195122
2019-03-24,ANC,44,-8.454545454545455
2019-03-25,ANC,45,-7.644444444444445
2019-03-26,ANC,44,-10.954545454545455
2019-03-27,ANC,47,-15.53191489361702
2019-03-28,ANC,45,-18.57777777777778
2019-03-29,ANC,45,-18.31111111111111
2019-03-30,ANC,39,-12.58974358974359
2019-03-31,ANC,42,-9.738095238095237
2019-04-01,ANC,48,-9.770833333333334
2019-04-02,ANC,43,6.953488372093023
2019-04-03,ANC,48,-8.25
2019-04-04,ANC,46,-3.239130434782609
2019-04-05,ANC,47,-15.957446808510639
2019-04-06,ANC,40,-13.6
2019-04-07,ANC,44,-14.795454545454545
2019-04-08,ANC,47,-7.851063829787234
2019-04-09,ANC,43,-4.813953488372093
2019-04-10,ANC,46,2.347826086956522
2019-04-11,ANC,42,24.666666666666668
2019-04-12,ANC,45,1.9777777777777779
2019-04-13,ANC,40,0.0
2019-04-14,ANC,42,-8.571428571428571
2019-04-15,ANC,47,-6.297872340425532
2019-04-16,ANC,43,-5.1395348837209305
2019-04-17,ANC,45,1.9777777777777779
2019-04-18,ANC,45,-3.066666666666667
2019-04-19,ANC,46,14.543478260869565
2019-04-20,ANC,40,-10.2
2019-04-21,ANC,43,-10.255813953488373
2019-04-22,ANC,46,-4.826086956521739
2019-04-23,ANC,43,16.511627906976745
2019-04-24,ANC,46,-3.5217391304347827
2019-04-25,ANC,45,-6.933333333333334
2019-04-26,ANC,46,0.41304347826086957
2019-04-27,ANC,40,1.225
2019-04-28,ANC,43,-0.13953488372093023
2019-04-29,ANC,47,4.319148936170213
2019-04-30,ANC,45,-5.355555555555555
2019-05-01,ANC,49,-1.2448979591836735
2019-05-02,ANC,47,4.702127659574468
2019-05-03,ANC,47,2.574468085106383
2019-05-04,ANC,41,-1.4634146341463414
2019-05-05,ANC,44,-5.954545454545454
2019-05-06,ANC,48,4.041666666666667
2019-05-07,ANC,48,2.125
2019-05-08,ANC,52,-0.3269230769230769
2019-05-09,ANC,49,-1.183673469387755
2019-05-10,ANC,50,7.24
2019-05-11,ANC,43,-4.790697674418604
2019-05-12,ANC,48,-6.541666666666667
2019-05-13,ANC,53,-5.547169811320755
2019-05-14,ANC,50,-8.82
2019-05-15,ANC,54,-8.222222222222221
2019-05-16,ANC,51,-0.0392156862745098
2019-05-17,ANC,53,-12.90566037735849
