date,airport,temp_max,temp_min,temp_avg,precip_total,rain,snowfall,wind_speed_max,wind_gusts_max,weather_code,condition,severity,has_precipitation,has_snow,is_adverse,temp_range,peak_wind_operating,precip_operating,max_hourly_severity,storm_hours,morning_severity,evening_severity
2019-01-01,ANC,5.9,3.7,4.8,7.2,1.1,4.34,20.6,71.3,75,snow,4,1,1,1,2.2,20.6,2.6,4,10,4,1
2019-01-02,ANC,4.3,-2.5,1.3,1.5,0.3,1.19,17.4,34.9,71,snow,4,1,1,1,6.8,17.4,1.3,4,13,4,4
2019-01-03,ANC,-1.6,-6.5,-3.8,0.0,0.0,0.21,9.4,18.7,71,snow,4,0,1,1,4.9,6.2,0.0,4,3,1,1
2019-01-04,ANC,-5.8,-9.3,-7.8,0.0,0.0,0.0,6.6,15.8,3,cloudy,1,0,0,0,3.500000000000001,6.6,0.0,1,0,1,1
2019-01-05,ANC,-7.1,-12.7,-9.4,0.0,0.0,0.0,4.9,13.3,3,cloudy,1,0,0,0,5.6,4.9,0.0,1,0,1,1
2019-01-06,ANC,-12.0,-15.8,-13.9,0.0,0.0,0.0,4.3,13.3,3,cloudy,1,0,0,0,3.8000000000000007,3.5,0.0,1,0,1,1
2019-01-07,ANC,-15.3,-18.8,-17.1,0.0,0.0,0.0,6.3,18.4,3,cloudy,1,0,0,0,3.5,6.3,0.0,1,0,1,1
2019-01-08,ANC,-9.2,-15.8,-11.5,0.0,0.0,0.0,7.9,22.0,3,cloudy,1,0,0,0,6.600000000000001,7.9,0.0,1,0,1,1
2019-01-09,ANC,-6.8,-10.6,-8.9,0.0,0.0,0.0,6.6,18.0,3,cloudy,1,0,0,0,3.8,4.5,0.0,1,0,1,1
2019-01-10,ANC,-7.6,-13.1,-10.4,0.0,0.0,0.0,8.0,19.1,2,cloudy,1,0,0,0,5.5,7.9,0.0,1,0,0,0
2019-01-11,ANC,-12.5,-15.1,-13.9,0.0,0.0,0.0,12.6,24.8,3,cloudy,1,0,0,0,2.5999999999999996,12.6,0.0,1,0,1,1
2019-01-12,ANC,-5.6,-14.4,-10.3,1.1,0.0,0.77,16.0,36.7,73,snow,4,1,1,1,8.8,16.0,1.1,4,3,1,4
2019-01-13,ANC,3.0,-6.4,-0.5,0.4,0.0,0.49,11.4,39.6,73,snow,4,1,1,1,9.4,10.7,0.0,4,4,4,1
2019-01-14,ANC,2.9,-0.0,1.4,0.0,0.0,0.0,9.7,30.2,3,cloudy,1,0,0,0,2.9,9.7,0.0,1,0,1,1
2019-01-15,ANC,-0.0,-5.2,-2.8,0.0,0.0,0.0,9.2,22.3,3,cloudy,1,0,0,0,5.2,7.9,0.0,1,0,1,1
2019-01-16,ANC,2.8,-1.9,0.4,0.0,0.0,0.14,10.7,26.6,71,snow,4,0,1,1,4.699999999999999,10.7,0.0,4,2,4,1
2019-01-17,ANC,1.6,-3.1,-1.2,0.0,0.0,0.0,8.2,20.2,3,cloudy,1,0,0,0,4.7,5.0,0.0,1,0,1,1
2019-01-18,ANC,-3.3,-7.2,-5.2,0.0,0.0,0.0,4.5,14.0,3,cloudy,1,0,0,0,3.9,4.5,0.0,1,0,1,1
2019-01-19,ANC,-4.5,-9.6,-6.3,0.0,0.0,0.0,4.1,15.1,1,cloudy,1,0,0,0,5.1,4.1,0.0,1,0,1,1
2019-01-20,ANC,-8.2,-11.1,-9.5,0.0,0.0,0.0,6.4,18.4,2,cloudy,1,0,0,0,2.9000000000000004,6.4,0.0,1,0,1,1
2019-01-21,ANC,-5.1,-9.7,-7.4,0.4,0.0,0.42,9.1,22.7,71,snow,4,1,1,1,4.6,9.1,0.4,4,6,1,4
2019-01-22,ANC,1.2,-5.7,-1.7,0.4,0.0,0.49,10.5,33.1,71,snow,4,1,1,1,6.9,10.5,0.4,4,7,1,4
2019-01-23,ANC,4.4,1.6,3.4,5.3,3.1,1.54,12.0,45.0,73,snow,4,1,1,1,2.8000000000000003,12.0,4.1,4,17,4,4
2019-01-24,ANC,4.5,2.4,3.7,5.2,3.1,1.47,13.4,42.8,73,snow,4,1,1,1,2.1,13.4,4.3999999999999995,4,10,4,1
2019-01-25,ANC,6.1,2.6,4.0,15.3,5.2,7.07,26.8,63.7,75,snow,4,1,1,1,3.4999999999999996,26.8,4.0,4,9,4,1
2019-01-26,ANC,3.0,-1.3,0.6,0.0,0.0,0.0,14.7,31.0,3,cloudy,1,0,0,0,4.3,14.7,0.0,1,0,1,1
2019-01-27,ANC,3.5,0.5,2.0,0.0,0.0,0.0,13.9,30.6,3,cloudy,1,0,0,0,3.0,10.7,0.0,1,0,1,1
2019-01-28,ANC,2.8,1.5,1.9,5.9,0.0,4.27,15.4,33.8,73,snow,4,1,1,1,1.2999999999999998,15.4,5.5,4,24,4,4
2019-01-29,ANC,3.0,1.4,2.3,15.5,2.0,9.45,18.1,38.5,75,snow,4,1,1,1,1.6,15.7,7.2,4,24,4,4
2019-01-30,ANC,2.9,1.5,2.2,2.1,1.0,0.77,7.8,20.5,71,snow,4,1,1,1,1.4,5.6,0.1,4,6,4,1
2019-01-31,ANC,1.4,-2.6,-0.3,0.0,0.0,0.0,4.5,12.6,3,cloudy,1,0,0,0,4.0,3.1,0.0,1,0,1,1
2019-02-01,ANC,-2.0,-5.7,-3.8,0.0,0.0,0.0,6.2,16.9,3,cloudy,1,0,0,0,3.7,6.2,0.0,1,0,1,1
2019-02-02,ANC,-2.9,-7.0,-4.5,0.0,0.0,0.0,7.6,20.9,3,cloudy,1,0,0,0,4.1,7.6,0.0,1,0,1,1
2019-02-03,ANC,-1.9,-3.9,-2.7,7.6,0.0,5.32,8.2,28.1,73,snow,4,1,1,1,2.0,8.2,6.2,4,24,4,4
