airport,date,peak_wind_operating,precip_operating,max_hourly_severity,storm_hours,morning_severity,evening_severity
ANC,2019-01-01,20.6,2.6,4,10,4,1
ANC,2019-01-02,17.4,1.3,4,13,4,4
ANC,2019-01-03,6.2,0.0,4,3,1,1
ANC,2019-01-04,6.6,0.0,1,0,1,1
ANC,2019-01-05,4.9,0.0,1,0,1,1
ANC,2019-01-06,3.5,0.0,1,0,1,1
ANC,2019-01-07,6.3,0.0,1,0,1,1
ANC,2019-01-08,7.9,0.0,1,0,1,1
ANC,2019-01-09,4.5,0.0,1,0,1,1
ANC,2019-01-10,7.9,0.0,1,0,0,0
ANC,2019-01-11,12.6,0.0,1,0,1,1
ANC,2019-01-12,16.0,1.1,4,3,1,4
ANC,2019-01-13,10.7,0.0,4,4,4,1
ANC,2019-01-14,9.7,0.0,1,0,1,1
ANC,2019-01-15,7.9,0.0,1,0,1,1
ANC,2019-01-16,10.7,0.0,4,2,4,1
ANC,2019-01-17,5.0,0.0,1,0,1,1
ANC,2019-01-18,4.5,0.0,1,0,1,1
ANC,2019-01-19,4.1,0.0,1,0,1,1
ANC,2019-01-20,6.4,0.0,1,0,1,1
ANC,2019-01-21,9.1,0.4,4,6,1,4
ANC,2019-01-22,10.5,0.4,4,7,1,4
ANC,2019-01-23,12.0,4.1,4,17,4,4
ANC,2019-01-24,13.4,4.3999999999999995,4,10,4,1
ANC,2019-01-25,26.8,4.0,4,9,4,1
ANC,2019-01-26,14.7,0.0,1,0,1,1
ANC,2019-01-27,10.7,0.0,1,0,1,1
ANC,2019-01-28,15.4,5.5,4,24,4,4
ANC,2019-01-29,15.7,7.2,4,24,4,4
ANC,2019-01-30,5.6,0.1,4,6,4,1
ANC,2019-01-31,3.1,0.0,1,0,1,1
ANC,2019-02-01,6.2,0.0,1,0,1,1
ANC,2019-02-02,7.6,0.0,1,0,1,1
ANC,2019-02-03,8.2,6.2,4,24,4,4
ANC,2019-02-04,7.2,0.2,4,6,1,1
ANC,2019-02-05,8.6,0.0,4,8,4,1
ANC,2019-02-06,4.4,0.0,1,0,1,1
ANC,2019-02-07,6.9,0.0,1,0,1,1
ANC,2019-02-08,8.2,0.0,1,0,1,1
ANC,2019-02-09,4.3,0.0,1,0,1,1
ANC,2019-02-10,9.8,0.0,1,0,1,1
ANC,2019-02-11,8.4,0.4,4,3,1,4
ANC,2019-02-12,14.8,0.1,4,1,1,1
ANC,2019-02-13,22.9,0.0,1,0,1,0
ANC,2019-02-14,14.8,0.0,1,0,0,1
ANC,2019-02-15,5.7,0.0,1,0,1,1
ANC,2019-02-16,10.6,2.8000000000000003,4,11,4,4
ANC,2019-02-17,13.4,10.3,4,23,4,4
ANC,2019-02-18,10.2,4.6,4,19,4,4
ANC,2019-02-19,13.7,0.3,4,8,4,1
ANC,2019-02-20,9.0,1.5,4,8,1,4
ANC,2019-02-21,11.2,0.0,4,7,4,0
ANC,2019-02-22,9.2,0.0,1,0,0,1
ANC,2019-02-23,5.5,0.0,1,0,1,1
ANC,2019-02-24,4.7,0.0,1,0,1,1
ANC,2019-02-25,3.4,0.0,1,0,1,0
ANC,2019-02-26,3.4,0.0,1,0,1,0
ANC,2019-02-27,3.8,0.0,1,0,1,1
ANC,2019-02-28,3.6,0.0,1,0,1,0
ANC,2019-03-01,3.0,0.0,1,0,1,1
ANC,2019-03-02,4.5,0.0,1,0,1,1
ANC,2019-03-03,3.7,0.0,1,0,1,1
ANC,2019-03-04,6.0,0.0,1,0,1,1
ANC,2019-03-05,8.3,0.0,1,0,1,1
ANC,2019-03-06,5.4,0.0,1,0,1,1
ANC,2019-03-07,7.2,1.0,4,10,1,4
ANC,2019-03-08,9.9,3.1,4,24,4,4
ANC,2019-03-09,23.7,6.5,4,15,4,4
ANC,2019-03-10,12.0,0.8,4,10,4,1
ANC,2019-03-11,11.3,3.0,4,15,4,4
ANC,2019-03-12,9.7,0.0,1,0,1,1
ANC,2019-03-13,17.3,3.7,4,22,4,4
ANC,2019-03-14,14.6,3.6,4,21,4,4
ANC,2019-03-15,13.6,7.0,4,18,4,4
ANC,2019-03-16,18.6,6.9,4,20,4,4
ANC,2019-03-17,13.0,9.3,4,15,4,4
ANC,2019-03-18,9.9,0.5,4,5,4,2
ANC,2019-03-19,10.7,0.3,4,6,4,1
ANC,2019-03-20,13.7,8.9,4,1,2,2
ANC,2019-03-21,12.9,0.5,4,1,1,1
ANC,2019-03-22,11.3,8.200000000000001,4,23,4,4
ANC,2019-03-23,9.0,3.6,2,0,2,2
ANC,2019-03-24,10.7,0.0,2,0,1,1
ANC,2019-03-25,8.2,0.0,1,0,1,1
ANC,2019-03-26,5.0,0.0,1,0,1,1
ANC,2019-03-27,6.9,0.0,1,0,1,1
ANC,2019-03-28,6.8,0.0,1,0,1,1
ANC,2019-03-29,4.3,0.0,1,0,1,1
ANC,2019-03-30,4.4,0.0,1,0,1,0
ANC,2019-03-31,5.5,0.0,1,0,1,0
ANC,2019-04-01,4.0,0.0,1,0,0,1
ANC,2019-04-02,4.1,0.0,1,0,1,1
ANC,2019-04-03,13.5,0.0,1,0,0,1
ANC,2019-04-04,10.0,0.0,4,4,1,4
ANC,2019-04-05,10.0,0.0,1,0,1,1
ANC,2019-04-06,11.0,1.8,4,8,4,2
ANC,2019-04-07,6.9,0.0,1,0,1,1
ANC,2019-04-08,9.3,0.4,2,0,1,2
ANC,2019-04-09,7.1,0.0,2,0,1,1
ANC,2019-04-10,8.0,0.0,1,0,1,1
ANC,2019-04-11,13.9,7.5,4,14,4,4
ANC,2019-04-12,6.8,6.6000000000000005,4,12,4,1
ANC,2019-04-13,7.6,0.0,1,0,1,1
ANC,2019-04-14,6.6,0.5,4,5,1,4
ANC,2019-04-15,6.9,0.0,1,0,1,1
ANC,2019-04-16,9.2,2.5,4,2,1,4
ANC,2019-04-17,8.4,3.5,4,11,1,4
